region,year,population,employment_rate,average_house_price,rental_index,housing_completions,population_growth_rate,employment_rate_growth_rate,average_house_price_growth_rate,rental_index_growth_rate,housing_completions_growth_rate,population_change,population_lag1,population_lag2,employment_rate_lag1,employment_rate_lag2,average_house_price_lag1,average_house_price_lag2,rental_index_lag1,rental_index_lag2,housing_completions_lag1,housing_completions_lag2
East Midlands,2023,4991265.0,75.5,232440.08,128.4,18800.0,1.14,0.4,0.81,5.16,0.21,56433.0,4934832.0,4881559.0,75.2,74.1,230580.33,209216.17,122.1,117.0,18760.0,17500.0
East of England,2023,6468665.0,77.5,333809.42,124.4,23860.0,1.05,-1.02,-0.65,4.89,-3.24,67247.0,6401418.0,6349646.0,78.3,77.9,335998.0,307257.08,118.6,114.2,24660.0,21110.0
London,2023,8945309.0,74.6,558023.75,116.6,16120.0,0.86,-2.1,-1.4,5.62,-23.71,76266.0,8869043.0,8804769.0,76.2,74.9,565955.42,535453.67,110.4,108.3,21130.0,17760.0
North East,2023,2711380.0,72.8,149708.08,112.8,7980.0,1.09,3.26,1.06,4.44,-7.1,29311.0,2682069.0,2647493.0,70.5,70.2,148133.92,137431.75,108.0,104.9,8590.0,8340.0
North West,2023,7600126.0,73.8,198163.33,118.7,18810.0,1.12,0.41,1.24,5.04,-1.88,84408.0,7515718.0,7424092.0,73.5,72.9,195741.25,177965.25,113.0,108.8,19170.0,22860.0
South East,2023,9482507.0,79.3,379221.5,122.9,26730.0,1.01,1.54,-0.47,4.95,-13.66,95221.0,9387286.0,9295829.0,78.1,77.7,381020.25,348428.17,117.1,113.5,30960.0,31460.0
South West,2023,5811259.0,78.8,303559.33,125.3,17830.0,0.77,0.64,-0.11,5.03,-12.73,44322.0,5766937.0,5712822.0,78.3,77.4,303884.75,272328.08,119.3,114.8,20430.0,19430.0
West Midlands,2023,6085687.0,75.2,229525.21,122.7,14340.0,1.14,1.9,1.64,5.14,-11.97,68661.0,6017026.0,5956226.0,73.8,73.6,225819.54,205768.46,116.7,112.8,16290.0,17380.0
Yorkshire and The Humber,2023,5594125.0,74.2,192742.5,120.8,14010.0,1.01,-0.54,0.83,5.32,0.21,55912.0,5538213.0,5482455.0,74.6,73.8,191155.83,175033.83,114.7,110.8,13980.0,13350.0
